dir,dist1,dist2
3ANSbot.pdb_3ANScap.pdb,32.5857345168,14.2219311277
3ANSbot.pdb_3ANScap.pdb,12.8279177578,19.4492303704
3ANSbot.pdb_3ANScap.pdb,18.347480045,19.7579851706
3ANSbot.pdb_3ANScap.pdb,25.8224194451,17.5904839615
3ANSbot.pdb_3ANScap.pdb,40.5142098775,19.6870021588
3ANSbot.pdb_3ANScap.pdb,24.3120354763,21.6415084733
3ANSbot.pdb_3ANScap.pdb,32.3081698956,15.074733331
3ANSbot.pdb_3ANScap.pdb,24.2686656617,21.0925288669
3ANSbot.pdb_3ANScap.pdb,21.4033269143,15.42897226
3ANSbot.pdb_3ANScap.pdb,26.679036077,5.83120347784
3ANSbot.pdb_3ANScap.pdb,14.0554984615,20.1639833614
3ANSbot.pdb_3ANScap.pdb,28.5488966687,20.2191565353
3ANSbot.pdb_3ANScap.pdb,22.183704357,5.31255437619
3ANSbot.pdb_3ANScap.pdb,33.2253972286,18.4046777206
3ANSbot.pdb_3ANScap.pdb,17.7483973924,10.3534762278
3ANSbot.pdb_3ANScap.pdb,32.3812675014,12.7059793798
3ANSbot.pdb_3ANScap.pdb,27.4630289116,20.5049684711
3ANSbot.pdb_3ANScap.pdb,13.5314082785,10.1701892313
3ANSbot.pdb_3ANScap.pdb,22.9614728186,16.2392077085
3ANSbot.pdb_3ANScap.pdb,32.0957789281,17.1066050986
3ANSbot.pdb_3ANScap.pdb,27.5877783085,10.719982556
3ANSbot.pdb_3ANScap.pdb,24.9506136598,17.1626125634
3ANSbot.pdb_3ANScap.pdb,26.9766426562,19.5560169002
3ANSbot.pdb_3ANScap.pdb,22.1720282338,17.2544399214
3ANSbot.pdb_3ANScap.pdb,29.6524026682,20.8437599535
3ANSbot.pdb_3ANScap.pdb,26.0171553211,18.6949137468
3ANSbot.pdb_3ANScap.pdb,26.9034304132,9.5274555365
3ANSbot.pdb_3ANScap.pdb,25.7486626643,20.4873104628
3ANSbot.pdb_3ANScap.pdb,24.0176459712,21.9856798849
3ANSbot.pdb_3ANScap.pdb,13.7944357985,14.9027882962
3ANSbot.pdb_3ANScap.pdb,9.47047633438,11.4589314511
3ANSbot.pdb_3ANScap.pdb,29.6497531524,14.2580146234
3ANSbot.pdb_3ANScap.pdb,15.3789525651,18.956288508
3ANSbot.pdb_3ANScap.pdb,13.300355296,9.62505288297
3ANSbot.pdb_3ANScap.pdb,12.7575518419,18.3848944789
3ANSbot.pdb_3ANScap.pdb,12.8728600163,17.6200064983
3ANSbot.pdb_3ANScap.pdb,29.5922512831,20.1533470669
3ANSbot.pdb_3ANScap.pdb,20.4308321172,17.1782160017
3ANSbot.pdb_3ANScap.pdb,19.7686399633,10.8310996672
3ANSbot.pdb_3ANScap.pdb,16.9169260801,18.3884120576
3ANSbot.pdb_3ANScap.pdb,23.4653092458,14.9757380453
3ANSbot.pdb_3ANScap.pdb,27.7506211822,17.7193438084
3ANSbot.pdb_3ANScap.pdb,15.1948577486,20.8236308554
3ANSbot.pdb_3ANScap.pdb,32.7976438635,19.1050819156
3ANSbot.pdb_3ANScap.pdb,26.3692709228,16.5923110205
3ANSbot.pdb_3ANScap.pdb,27.8554624087,21.2899992485
3ANSbot.pdb_3ANScap.pdb,19.31022105,9.52648754788
3ANSbot.pdb_3ANScap.pdb,12.1488319192,6.08397649568
3ANSbot.pdb_3ANScap.pdb,33.5236110973,15.9363220976
3ANSbot.pdb_3ANScap.pdb,22.6614801591,12.8606898726
3ANSbot.pdb_3ANScap.pdb,26.6300529665,12.1682471211
3ANSbot.pdb_3ANScap.pdb,15.6271334863,16.044980804
3ANSbot.pdb_3ANScap.pdb,24.4815180085,3.42997026226
3ANSbot.pdb_3ANScap.pdb,13.66499839,12.6926057214
3ANSbot.pdb_3ANScap.pdb,35.1903471708,14.9097282001
3ANSbot.pdb_3ANScap.pdb,26.5919382332,10.1323654198
3ANSbot.pdb_3ANScap.pdb,25.4416999629,15.3264794066
3ANSbot.pdb_3ANScap.pdb,24.7259015811,21.7534359125
3ANSbot.pdb_3ANScap.pdb,31.2857076954,17.5961489537
3ANSbot.pdb_3ANScap.pdb,20.8740016528,13.04612636
3ANSbot.pdb_3ANScap.pdb,25.5912959813,12.1224955352
3ANSbot.pdb_3ANScap.pdb,21.6541746091,12.2378860103
